JobID	JobTitle	CompanyName	Location	JobURL	RobotCode	CreatedAt	NormalizedJob	City	Country	Region	GeoID
9360	New Business Account Executive (Iberia Market) with verification	Revolut	Spain (Remote)	https://www.linkedin.com/jobs/view/4236552933/	0	2025-06-13 00:37:04.440	Sales	Madrid	Spain	Europe	103335767
9370	Frontend Developer with verification	idealista	Spain (Remote)	https://www.linkedin.com/jobs/view/4191560402/	0	2025-06-13 00:37:29.690	Software Engineer	Madrid	Spain	Europe	103335767
9371	Desarrollador/a JAVA MICROSERVICIOS - Remoto with verification	Minsait	Madrid, Community of Madrid, Spain (Remote)	https://www.linkedin.com/jobs/view/4236675578/	0	2025-06-13 00:37:29.697	Software Engineer	Madrid	Spain	Europe	103335767
9392	Language Content Specialist, English, Prime Video Global Operations with verification	Prime Video & Amazon MGM Studios	Madrid, Community of Madrid, Spain	https://www.linkedin.com/jobs/view/4232234402/	0	2025-06-13 00:37:55.020	Specialist	Madrid	Spain	Europe	103335767
9406	Social Media Specialist	Chiliz	Madrid, Community of Madrid, Spain (Hybrid)	https://www.linkedin.com/jobs/view/4223311533/	0	2025-06-13 00:37:55.123	Specialist	Madrid	Spain	Europe	103335767
9410	Brand Specialist with verification	Amazon	Madrid, Community of Madrid, Spain	https://www.linkedin.com/jobs/view/4225930344/	0	2025-06-13 00:37:55.157	Specialist	Madrid	Spain	Europe	103335767
9437	ICT Administrator (m/w/d) 100% with verification	ASSA ABLOY Group	Richterswil, Zurich, Switzerland	https://www.linkedin.com/jobs/view/4094470969/	0	2025-06-13 00:38:20.573	Administrator	Zurich	Switzerland	Europe	102436504
9461	Remote Sales Agent (German Speaking)	Nexi Switzerland	Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4232932052/	0	2025-06-13 00:38:50.433	Agent	Zurich	Switzerland	Europe	102436504
9483	Digital Vendors Analyst with verification	MOK	Switzerland (Remote)	https://www.linkedin.com/jobs/view/4247946944/	0	2025-06-13 00:39:15.790	Analyst	Zurich	Switzerland	Europe	102436504
9510	Zeichner/in EFZ, Fachrichtung Architektur (80-100%)	Agensa AG	Wangen-Brüttisellen, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4141635951/	0	2025-06-13 00:39:41.150	Architect	Zurich	Switzerland	Europe	102436504
9519	Founding Engineer for AI Startup	Zenline AI	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4245118688/	0	2025-06-13 00:40:06.527	Artificial Intelligence	Zurich	Switzerland	Europe	102436504
9534	Zürich based - Associate Consultant, AI/ML (Paid Working Student)	INTELLISHORE	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4197564884/	0	2025-06-13 00:40:06.633	Artificial Intelligence	Zurich	Switzerland	Europe	102436504
9535	Founder’s Associate Intern (6-months starting Sep’25)	AI HOUSE	Zurich, Zurich, Switzerland	https://www.linkedin.com/jobs/view/4247039528/	0	2025-06-13 00:40:06.643	Artificial Intelligence	Zurich	Switzerland	Europe	102436504
9556	Consultant – Strategic IT-Sourcing (80-100%)	MMG Management Consulting	Zurich, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4219672802/	0	2025-06-13 00:40:31.963	Consultant	Zurich	Switzerland	Europe	102436504
9558	SAP Junior Consultant Manufacturing	Digital Edge Consultants Inc.	Winterthur, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4249488702/	0	2025-06-13 00:40:31.980	Consultant	Zurich	Switzerland	Europe	102436504
9559	Consultant Customer Experience & Service Design, Deloitte Digital (e/v/e/r/y/o/n/e) with verification	Deloitte	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4247443408/	0	2025-06-13 00:40:31.987	Consultant	Zurich	Switzerland	Europe	102436504
9560	Solutions Consultant (Presales) - Switzerland with verification	Palo Alto Networks	Zurich, Zurich, Switzerland (Remote)	https://www.linkedin.com/jobs/view/4172653725/	0	2025-06-13 00:40:31.993	Consultant	Zurich	Switzerland	Europe	102436504
9587	Junior Business Developer	Swisslinx	Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4240870164/	0	2025-06-13 00:41:27.473	Developer	Zurich	Switzerland	Europe	102436504
9621	Director of Digital Supply Chain Transformation (SAP)	Experis Switzerland	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4243845679/	0	2025-06-13 00:42:18.150	Director	Zurich	Switzerland	Europe	102436504
9625	Manging Director Switzerland	Mackinnon Bruce International	Switzerland (Remote)	https://www.linkedin.com/jobs/view/4238530590/	0	2025-06-13 00:42:18.180	Director	Zurich	Switzerland	Europe	102436504
9641	Mechanical Test Engineer	Dufour Aerospace	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4241226274/	0	2025-06-13 00:42:43.513	Engineer	Zurich	Switzerland	Europe	102436504
9649	Automation Engineer	Menhir Photonics	Opfikon, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4217473386/	0	2025-06-13 00:42:43.577	Engineer	Zurich	Switzerland	Europe	102436504
9650	System Engineer	BREVIT AG	Wetzikon, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4224747199/	0	2025-06-13 00:42:43.580	Engineer	Zurich	Switzerland	Europe	102436504
9668	IT System Engineer (m/w) 80-100%	yellowshark® AG	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4233720202/	0	2025-06-13 00:43:13.670	IT Engineer	Zurich	Switzerland	Europe	102436504
9674	IT System Engineer - Monitoring Architect 80-100% (w/m/d) with verification	Netrics	Opfikon, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4232770248/	0	2025-06-13 00:43:13.710	IT Engineer	Zurich	Switzerland	Europe	102436504
9675	Presales IT System Engineer 80%-100% (m/w)	UPGREAT AG	Fehraltorf, Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4245102185/	0	2025-06-13 00:43:13.717	IT Engineer	Zurich	Switzerland	Europe	102436504
9684	Wealth Manager	Private Client Consultancy	Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4177546887/	0	2025-06-13 00:43:38.953	Manager	Zurich	Switzerland	Europe	102436504
9689	Psychology Operations Manager	Kyan Health	Zurich, Switzerland (Hybrid)	https://www.linkedin.com/jobs/view/4248058226/	0	2025-06-13 00:43:39.063	Manager	Zurich	Switzerland	Europe	102436504
9699	Junior Content Manager Online Shop 80-100% with verification	PKZ Burger-Kehl & Co. AG	Urdorf, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4249061530/	0	2025-06-13 00:43:39.157	Manager	Zurich	Switzerland	Europe	102436504
9713	Compliance Officer – Transaction Monitoring (temporary) with verification	TieTalent	Zurich, Zurich, Switzerland (On-site)	https://www.linkedin.com/jobs/view/4246676659/	0	2025-06-13 00:44:04.430	Officer	Zurich	Switzerland	Europe	102436504
